CDS_ID	Start	End
lcl|NC_002942.5_cds_WP_010948574.1_2873	3268809	3270722
lcl|NC_002942.5_cds_WP_015443899.1_2892	3288535	3288720
lcl|NC_002942.5_cds_WP_010948591.1_2893	3288717	3288986
lcl|NC_002942.5_cds_WP_010948597.1_2901	3296964	3298451
lcl|NC_002942.5_cds_WP_015443883.1_2918	3312916	3314253
lcl|NC_002942.5_cds_WP_010948613.1_2919	3314290	3315060
lcl|NC_002942.5_cds_WP_010948615.1_2921	3315903	3316628
lcl|NC_002942.5_cds_WP_010948621.1_2928	3321700	3322434
lcl|NC_002942.5_cds_WP_010948659.1_2969	3364068	3366683
lcl|NC_002942.5_cds_WP_010948683.1_2993	3391003	3391803
lcl|NC_002942.5_cds_WP_010948684.1_2994	3391800	3393638
